fsym,tsym,time,open,high,low,close,volumefrom,volumeto,fsym,tsym,max_close,max_high
ELLA,BTC,"2017-12-30 00:00:00",0.00007603,0.00007603,0.00007603,0.00007603,0,0,ELLA,BTC,0.0000843,0.00012
EMC,USD,"2017-12-30 00:00:00",2.78,3.28,2.7,2.89,63026.76,190176.74,EMC,USD,3.16,17
ENG,BTC,"2017-12-30 00:00:00",0.0002082,0.0002093,0.0001736,0.0001901,4370902.43,825.57,ENG,BTC,0.0002082,0.0002604
ENG,ETH,"2017-12-30 00:00:00",0.05772,0.05803,0.04813,0.003573,4370902.43,15765.53,ENG,ETH,0.003777,0.08133
ENG,USD,"2017-12-30 00:00:00",2.9,2.91,2.42,2.66,4370902.43,11670309.49,ENG,USD,2.71,3.6
ENJ,BTC,"2017-12-30 00:00:00",0.00001249,0.00001597,0.00001125,0.00001284,33299707.16,437.63,ENJ,BTC,0.00001284,0.00001597
ENJ,ETH,"2017-12-30 00:00:00",0.0508,0.06496,0.04576,0.0002414,33299707.16,8187.01,ENJ,ETH,0.0002414,0.06777
ENJ,USD,"2017-12-30 00:00:00",0.1738,0.2222,0.1565,0.1796,33299707.16,6050556.79,ENJ,USD,0.1796,0.2222
ENT,USD,"2017-12-30 00:00:00",0.3336,0.4865,0.3336,0.4878,12005.8,4478.16,ENT,USD,0.4878,0.5502
ERC,USD,"2017-12-30 00:00:00",1.03,1.03,0.9705,1.01,85484.01,83252.88,ERC,USD,1.07,1.17
ERT,BTC,"2017-12-30 00:00:00",0.00009754,0.00009754,0.00009754,0.00009754,0,0,ERT,BTC,0.00009754,0.00009754
ESP,ETH,"2017-12-30 00:00:00",0.00000078,0.00000078,0.00000078,0.00000078,112408.81,0.08768,ESP,ETH,0.00000082,0.00000088
ESP,USD,"2017-12-30 00:00:00",0.0005782,0.0005782,0.0005782,0.000579,112408.81,64.99,ESP,USD,0.0005917,0.0006947
ETBS,USD,"2017-12-30 00:00:00",1.95,2.92,1.67,2.1,7030.8,14694.37,ETBS,USD,2.26,4.14
ETH,USD,"2017-12-30 00:00:00",692.99,743.52,686.44,743.65,310726.99,222204239.82,ETH,USD,812.5,868.89
FCT,USD,"2017-12-30 00:00:00",45.71,55.59,43.11,52.24,161769.42,8797021.06,FCT,USD,52.24,55.59
FLASH,ETH,"2017-12-30 00:00:00",0.05312,0.05312,0.05312,0.00005493,0,0,FLASH,ETH,0.00005493,1.22
FLASH,USD,"2017-12-30 00:00:00",0.04062,0.04062,0.04062,0.04082,0,0,FLASH,USD,0.04082,0.1398
FLIXX,BTC,"2017-12-30 00:00:00",0.00001245,0.00001716,0.00000932,0.00001555,147660.71,2.27,FLIXX,BTC,0.00001555,31.72
FLIXX,ETH,"2017-12-30 00:00:00",0.0002344,0.000323,0.0001755,0.0002923,147660.71,36.01,FLIXX,ETH,0.0003011,770
FLIXX,USD,"2017-12-30 00:00:00",0.1738,0.2394,0.1301,0.217,147660.71,31673.22,FLIXX,USD,0.217,356363.7
FLT,USD,"2017-12-30 00:00:00",0.005286,0.005286,0.005286,0.005312,0,0,FLT,USD,0.005312,0.006621
FUEL,USD,"2017-12-30 00:00:00",0.147,0.1974,0.1412,0.1733,44729751.7,7599584.81,FUEL,USD,0.1733,0.1974
GCN,BTC,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,0,0,GCN,BTC,0.00000001,0.00000001
GNT,USD,"2017-12-30 00:00:00",0.7836,0.8767,0.7379,0.8624,11655620.12,10023833.3,GNT,USD,0.8804,1233.03
GRC,USD,"2017-12-30 00:00:00",0.1164,0.1622,0.1152,0.1437,19930095.89,2851996.72,GRC,USD,0.1437,0.1622
GRWI,USD,"2017-12-30 00:00:00",2.99,2.99,2.99,3.03,0,0,GRWI,USD,3.03,326.28
GUP,USD,"2017-12-30 00:00:00",0.8091,0.9202,0.78,0.887,7989281.62,7001806.41,GUP,USD,0.9253,1.58
GVT,BTC,"2017-12-30 00:00:00",0.0005747,0.0006479,0.0005688,0.0005981,150734.19,90.99,GVT,BTC,0.0006015,0.0006928
GVT,USD,"2017-12-30 00:00:00",7.99,9.01,7.91,8.37,150734.19,1249586.44,GVT,USD,8.37,9.58
HDG,BTC,"2017-12-30 00:00:00",0.0003251,0.0004394,0.0002932,0.0004352,47450.26,19.79,HDG,BTC,0.0004352,8.28
HDG,ETH,"2017-12-30 00:00:00",0.00612,0.008272,0.00552,0.00818,47450.26,309.25,HDG,ETH,0.00818,160.89
HDG,USD,"2017-12-30 00:00:00",4.54,6.13,4.09,6.07,47450.26,276160.51,HDG,USD,6.07,47681.36
HTML5,BTC,"2017-12-30 00:00:00",0.00000005,0.00000005,0.00000003,0.00000005,25005320.45,0.9346,HTML5,BTC,0.00000005,0.00000008
HTML5,USD,"2017-12-30 00:00:00",0.00057,0.00065,0.000465,0.0006182,2913270.27,1591.3,HTML5,USD,0.0006182,0.0098
HUC,USD,"2017-12-30 00:00:00",0.3006,0.3336,0.3003,0.3255,191379.7,60916.16,HUC,USD,0.3356,0.3857
HUSH,USD,"2017-12-30 00:00:00",7.47,7.47,7.47,7.5,0,0,HUSH,USD,7.84,9.03
IGNIS,BTC,"2017-12-30 00:00:00",0.0006906,0.001425,0.0005317,0.001428,5249.65,7.48,IGNIS,BTC,0.001428,0.002145
IGNIS,ETH,"2017-12-30 00:00:00",0.013,0.02683,0.01001,0.02689,5249.65,72.74,IGNIS,ETH,0.02689,0.042
IGNIS,USD,"2017-12-30 00:00:00",9.64,19.89,7.42,19.99,5249.65,104415.54,IGNIS,USD,19.99,31.06
INCNT,USD,"2017-12-30 00:00:00",0.4705,0.7399,0.4683,0.6205,2361185.17,1445281.44,INCNT,USD,0.6205,1.23
INFX,USD,"2017-12-30 00:00:00",1.38,1.55,1.36,1.47,79239.71,115689.98,INFX,USD,1.54,263.14
INN,USD,"2017-12-30 00:00:00",5.66,5.66,5.66,5.69,0,0,INN,USD,5.9,6.19
ION,USD,"2017-12-30 00:00:00",3.4,3.77,3.2,3.49,322564.03,1122522.82,ION,USD,3.49,4.63
KCS,BTC,"2017-12-30 00:00:00",0.0002266,0.0002499,0.0002147,0.0002499,369960.54,88.46,KCS,BTC,0.0002499,0.0002499
KCS,ETH,"2017-12-30 00:00:00",0.04819,0.05314,0.04566,0.004701,369960.54,1739.76,KCS,ETH,0.004701,0.05802
KCS,USD,"2017-12-30 00:00:00",3.15,3.48,2.99,3.49,369960.54,1287462.68,KCS,USD,3.49,3.6
KEK,USD,"2017-12-30 00:00:00",0.1579,0.1579,0.1579,0.1587,0,0,KEK,USD,0.1701,0.2159
KEY,BTC,"2017-12-30 00:00:00",0.00000024,0.00000032,0.0000002,0.00000026,12516820.62,3.25,KEY,BTC,0.00000026,16196.7
KEY,ETH,"2017-12-30 00:00:00",0.0000045,0.00000599,0.0000037,0.00000498,12516820.62,56.89,KEY,ETH,0.00000498,390000
KEY,USD,"2017-12-30 00:00:00",0.003336,0.00444,0.002743,0.003697,12516820.62,46212.1,KEY,USD,0.003773,306536100
KRB,USD,"2017-12-30 00:00:00",1.9,1.98,1.9,1.93,10298.3,19772.74,KRB,USD,2.04,2.18
LA,USD,"2017-12-30 00:00:00",0.5115,0.6523,0.4818,0.5717,2227209.24,1255700.57,LA,USD,0.5717,1221665.67
LINDA,ETH,"2017-12-30 00:00:00",0.00000084,0.000002,0.00000053,0.000002,1317410.02,1.68,LINDA,ETH,0.000002,0.00000551
LINK,USD,"2017-12-30 00:00:00",0.6149,0.6399,0.5448,0.573,9078576,5169341.17,LINK,USD,0.5831,0.6766
LINX,USD,"2017-12-30 00:00:00",0.2639,0.2639,0.2639,0.2659,0,0,LINX,USD,0.2659,0.2732
LMC,USD,"2017-12-30 00:00:00",0.1388,0.1601,0.1256,0.15,12799143.15,1940350.1,LMC,USD,0.1553,0.1775
LRC,USD,"2017-12-30 00:00:00",0.4013,0.4996,0.3941,0.4555,10383787.89,4727738.63,LRC,USD,0.4555,0.4996
LUN,USD,"2017-12-30 00:00:00",18.6,27.82,17.81,22.93,156406.58,3667734.3,LUN,USD,22.93,28.12
MAID,USD,"2017-12-30 00:00:00",0.7632,0.91,0.7398,0.9126,65002,52516.83,MAID,USD,0.9254,1.07
MANA,BTC,"2017-12-30 00:00:00",0.00000778,0.00000784,0.00000709,0.0000075,88222634.04,658.48,MANA,BTC,0.00000791,0.0000091
MDA,USD,"2017-12-30 00:00:00",1.99,2.39,1.99,2.3,1797718,3990933.96,MDA,USD,2.47,2.86
MER,BTC,"2017-12-30 00:00:00",0.00005052,0.00005105,0.0000464,0.00004844,1488212.42,72.66,MER,BTC,0.00005255,0.00006184
MLN,USD,"2017-12-30 00:00:00",127.3,131.73,121.64,128.67,1759.45,223977.99,MLN,USD,141.66,1207.36
MOD,BTC,"2017-12-30 00:00:00",0.00044,0.0006576,0.00044,0.0004478,2444093.25,1298.63,MOD,BTC,0.0004478,0.0007493
MOD,ETH,"2017-12-30 00:00:00",0.04957,0.07409,0.04957,0.008443,2444093.25,21694.09,MOD,ETH,0.008443,0.09395
MOD,USD,"2017-12-30 00:00:00",6.12,9.15,6.12,6.26,2444093.25,16033251.72,MOD,USD,6.26,9.39
MOJO,USD,"2017-12-30 00:00:00",0.02741,0.05439,0.02741,0.04908,17313.28,565.97,MOJO,USD,0.0498,0.1233
MTH,USD,"2017-12-30 00:00:00",0.2562,0.3337,0.2436,0.3127,14270639.25,4288327.09,MTH,USD,0.3332,0.413
NEBL,USD,"2017-12-30 00:00:00",7.06,10.08,6.72,7.77,926.18,7076.02,NEBL,USD,8.51,11.01
NEO,USD,"2017-12-30 00:00:00",70.47,77.39,66.54,74.69,341339.76,24750211.15,NEO,USD,77.34,84.11
NET,USD,"2017-12-30 00:00:00",0.002643,0.4367,0.002643,0.6174,1544.92,591.86,NET,USD,0.6174,0.9349
NEU,BTC,"2017-12-30 00:00:00",0.0000344,0.000074,0.0000344,0.0000578,279857.35,12.15,NEU,BTC,0.00006,0.00016
NEU,USD,"2017-12-30 00:00:00",0.4786,1.03,0.4786,0.8089,279857.35,222850.41,NEU,USD,0.8089,3.05
NGC,BTC,"2017-12-30 00:00:00",0.00029,0.00034,0.00024,0.00027,595703.8,174.39,NGC,BTC,0.00028,0.00034
NGC,ETH,"2017-12-30 00:00:00",0.05502,0.0645,0.04553,0.00508,595703.8,3140,NGC,ETH,0.00508,0.07001
NGC,USD,"2017-12-30 00:00:00",3.48,4.28,3.06,3.8,260352,998950.27,NGC,USD,3.8,4.28
NLG,USD,"2017-12-30 00:00:00",0.2551,0.287,0.2359,0.2589,4494598.85,1163651.64,NLG,USD,0.2589,0.2878
NULS,BTC,"2017-12-30 00:00:00",0.0001779,0.000181,0.000158,0.000163,553511.15,93.17,NULS,BTC,0.0001779,0.000181
NULS,ETH,"2017-12-30 00:00:00",0.05769,0.0587,0.05124,0.00307,553511.15,1706.8,NULS,ETH,0.003228,0.06519
NULS,USD,"2017-12-30 00:00:00",2.47,2.52,2.2,2.29,553511.15,1262005.42,NULS,USD,2.29,2.56
NXC,USD,"2017-12-30 00:00:00",0.5201,0.5261,0.4848,0.5057,1029052.01,512056.28,NXC,USD,0.5057,0.5261
NYC,BTC,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,221407382.72,2.21,NYC,BTC,0.00000001,0.00000001
OMG,USD,"2017-12-30 00:00:00",16.48,21.99,15.21,19.16,2989930.34,56019075.86,OMG,USD,19.16,21.99
OMNI,USD,"2017-12-30 00:00:00",106.39,121.32,97.14,96.19,28729.97,2827603.65,OMNI,USD,96.19,121.32
ONION,ETH,"2017-12-30 00:00:00",0.05312,0.05312,0.05312,0.01129,0,0,ONION,ETH,0.0113,0.3153
ONION,USD,"2017-12-30 00:00:00",8.35,8.35,8.35,8.39,0,0,ONION,USD,8.39,8.35
PAC,BTC,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,101544536.31,1.02,PAC,BTC,0.00000001,0.001714
PAC,USD,"2017-12-30 00:00:00",0.00000781,0.000012,0.00000752,0.0000123,7664526108.76,73733.76,PAC,USD,0.0000123,0.00001477
PAK,USD,"2017-12-30 00:00:00",0.01557,0.01759,0.01557,0.01829,6322.6,102.19,PAK,USD,0.01829,0.01969
PASC,USD,"2017-12-30 00:00:00",2.82,3.23,2.5,2.78,231536.04,650616.27,PASC,USD,2.9,375375
PASL,USD,"2017-12-30 00:00:00",0.2515,0.2515,0.2515,0.2528,0,0,PASL,USD,0.2528,0.3066
PBL,BTC,"2017-12-30 00:00:00",0.00006374,0.00007107,0.00003293,0.00006376,41943.67,2.67,PBL,BTC,0.00006614,357828.66
PBL,ETH,"2017-12-30 00:00:00",0.0012,0.001338,0.00062,0.0012,41943.67,41.29,PBL,ETH,0.0012,6222025
PBL,USD,"2017-12-30 00:00:00",0.8896,0.9919,0.4596,0.8909,41943.67,37313.09,PBL,USD,0.8909,2927027220.75
PDC,USD,"2017-12-30 00:00:00",0.198,0.2156,0.1948,0.206,715774.3,146089.53,PDC,USD,0.2141,0.3358
PFR,BTC,"2017-12-30 00:00:00",0.4781,262.41,0.00000239,0.00000282,1178112.4,3.28,PFR,BTC,0.00000284,7013.65
PFR,ETH,"2017-12-30 00:00:00",9,4940,0.000045,0.000053,1178112.4,63.24,PFR,ETH,0.000057,145000
PFR,USD,"2017-12-30 00:00:00",6671.7,3662022,0.03336,0.03934,1178112.4,45675.42,PFR,USD,0.04085,115879650
PHR,BTC,"2017-12-30 00:00:00",0.0003799,0.0003799,0.0001013,0.0003452,600,0.00015,PHR,BTC,0.0003799,0.0004495
PINK,USD,"2017-12-30 00:00:00",0.05495,0.06079,0.05231,0.05612,8583650.83,471671.61,PINK,USD,0.05755,0.06555
PIRL,BTC,"2017-12-30 00:00:00",0.00009832,0.00009832,0.00009832,0.00009832,0,0,PIRL,BTC,0.0001067,0.00015
PIX,USD,"2017-12-30 00:00:00",0.09933,0.1483,0.09044,0.1233,554721,68286.16,PIX,USD,0.1233,620.33
PLU,USD,"2017-12-30 00:00:00",18.87,19.15,18.35,19.18,183.09,3506.17,PLU,USD,20.35,32.41
PND,ETH,"2017-12-30 00:00:00",0.00000013,0.00000019,0.00000012,0.00000016,1469239.33,0.1827,PND,ETH,0.00000016,0.00000019
POE,USD,"2017-12-30 00:00:00",0.1083,0.143,0.08896,0.09879,134400148.64,13735695.19,POE,USD,0.1027,358979965.45
POP,ETH,"2017-12-30 00:00:00",0.0000003,0.0000003,0.0000003,0.0000003,0,0,POP,ETH,0.0000003,0.0000003
POP,USD,"2017-12-30 00:00:00",0.1818,0.1818,0.1818,0.1818,0,0,POP,USD,0.1818,0.1818
POSW,USD,"2017-12-30 00:00:00",0.4567,0.5926,0.45,0.5913,46203.89,26886.04,POSW,USD,0.5913,0.5926
PPP,BTC,"2017-12-30 00:00:00",0.0001301,0.0004898,0.0001169,0.0001307,120399.93,15.8,PPP,BTC,0.000137,57229394296850.6
PPT,BTC,"2017-12-30 00:00:00",0.002898,0.003181,0.002755,0.003,21505.69,63.46,PPT,BTC,0.003113,0.003294
PRIX,BTC,"2017-12-30 00:00:00",0.0003878,0.0004409,0.0003187,0.0003977,6666.66,2.65,PRIX,BTC,0.0004024,62.93
PRIX,USD,"2017-12-30 00:00:00",5.41,6.15,4.45,5.56,6666.66,37066.63,PRIX,USD,5.56,730745.45
PRO,ETH,"2017-12-30 00:00:00",0.05036,0.05351,0.04789,0.002797,284219.24,792.95,PRO,ETH,0.003034,6.59
PRO,USD,"2017-12-30 00:00:00",1.95,2.08,1.86,2.08,284219.24,585491.63,PRO,USD,2.08,78.16
PTC,USD,"2017-12-30 00:00:00",0.09724,0.1113,0.09627,0.1031,2111173.9,216817.56,PTC,USD,0.1091,0.1113
PWR,ETH,"2017-12-30 00:00:00",0.00000001,0.00000001,0.00000001,0.00000001,10000000,0.1,PWR,ETH,0.00000001,0.00000001
PWR,USD,"2017-12-30 00:00:00",0.00000289,0.0000034,0.00000212,0.00000339,849184982.69,2360.02,PWR,USD,0.00000339,0.000004
PXC,USD,"2017-12-30 00:00:00",0.01739,0.01739,0.01739,0.01748,0,0,PXC,USD,0.01773,0.02346
QRL,USD,"2017-12-30 00:00:00",2.14,2.61,1.95,2.49,1155282.42,2738019.34,QRL,USD,2.49,2900.25
QSP,BTC,"2017-12-30 00:00:00",0.00002076,0.00002887,0.0000202,0.00002507,78828655.3,1938.37,QSP,BTC,0.00002507,0.00002887
QSP,USD,"2017-12-30 00:00:00",0.2821,0.3913,0.2724,0.3503,23052037.12,7863049.86,QSP,USD,0.3503,380840
