fsym,volumefrom,fsym,volumefrom,vol-vol%
QAU,14418.310000000001,QAU,25540.469999999998,77.13913766592614
QRK,241248.99,QRK,2955182.2800000003,1124.9511510908296
QRL,3465847.26,QRL,3537808.38,2.0762923060839134
QSP,124932729.54,QSP,109635949.91,-12.244012987087107
QTUM,3735145.71,QTUM,7029705.51,88.20431800503975
QVT,60822.479999999996,QVT,102429.42,68.40717445260371
QWARK,4658886.54,QWARK,8623112.64,85.089560906113
R,3466.6000000000004,R,1296956.32,37312.92101771187
RADS,288922.74,RADS,750615.48,159.7979930551676
RAIN,0,RAIN,5003503.41,NULL
RBT,428049,RBT,20346764.11,4653.3726535980695
RBY,248947.05000000002,RBY,400967.39999999997,61.06533497785972
RCN,127244482.83,RCN,224665094.07,76.56175660688957
RDD,4464519482.76,RDD,3101557892.11,-30.528741019344967
RDN,0,RDN,0,NULL
RDN*,1800500.4300000002,RDN*,2983720.7399999998,65.71619147016807
REAL,101714.91,REAL,135210.38999999998,32.93074732111544
REC,31552.86,REC,22112.1,-29.920457289767082
RED,0,RED,4855677.57,NULL
REP,93003.86,REP,222923.98,139.69325574228856
REQ,70633776.09,REQ,65752312.83,-6.9109476092289785
RIC,8503509.69,RIC,3518388.12,-58.62428281656958
RISE,12710279.61,RISE,34085678.97,168.1741080124043
RKC,1500,RKC,18900,1160
RLC,3530166.63,RLC,2471515.2,-29.988709909707566
RNS,0,RNS,1113921.66,NULL
RPX,12453917.01,RPX,10837778.58,-12.976948768024588
RRT,897673.9199999999,RRT,965643.96,7.571796226407028
RUP,1421.46,RUP,826231.3800000001,58025.54556582669
RVT,180190.36,RVT,151668.77000000002,-15.828588166425755
SALT,3992171.6999999997,SALT,6996405.12,75.2531114831559
SAN,747688.04,SAN,645196.01,-13.707860032106442
SAR,1295166943.21,SAR,2387840683.01,84.36547470026284
SBC,0,SBC,1079321.52,NULL
SBD,343878.33,SBD,783462.75,127.83138152380813
SBTC,223.73000000000002,SBTC,818.78,265.9679077459437
SC,2197178198.82,SC,3876241880.16,76.4190943748552
SCL,222024.30000000002,SCL,172422.78,-22.340581639036817
SCT,65600.58,SCT,76527.09,16.656117979444684
SDAO,1296.01,SDAO,11703.64,803.0516739839969
SEND,0,SEND,12274794.99,NULL
SEQ,1793758.7399999998,SEQ,1121951.46,-37.452488175750986
SHIFT,1924345.2600000002,SHIFT,1176650.34,-38.85450992302702
SIB,409664.39999999997,SIB,473305.53,15.534942748259322
SIGT,2549506.59,SIGT,2005699.3499999999,-21.329901328084038
SJCX,12,SJCX,10914,90850
SKY,0,SKY,70499.45999999999,NULL
SLR,3229882.9799999995,SLR,11781740.31,264.7729773169678
SLS,33308.729999999996,SLS,70563.84,111.84788492386232
SMART,78010,SMART,131316,68.3322650942187
SMC,7098.99,SMC,227140.05000000002,3099.610789703888
SNC,8530124.74,SNC,6312958.819999999,-25.992186369832627
SNGLS,46527107.43,SNGLS,24260751.54,-47.856737974738095
SNM,18515111.61,SNM,39641293.92,114.10237623730966
SNOV,13854876.27,SNOV,15473922.84,11.685752643679152
SNRG,628869.39,SNRG,388487.73,-38.224417315016716
SNT,390814246.17,SNT,529648043.43,35.52424166226755
SOAR,7838728.17,SOAR,712253.1000000001,-90.91366501614509
SPACE,279906.13,SPACE,703424.54,151.307300772584
SPANK,2571390.63,SPANK,6497816.76,152.69660253837046
SPHR,230299.19999999998,SPHR,666592.89,189.44646355697287
SPN,0,SPN,0,NULL
SPR,3121182.39,SPR,2014403.6400000001,-35.46023947674522
SPT,119548.53,SPT,2718285.84,2173.7927768747973
SRC,0,SRC,712466.49,NULL
SRN,2296555.17,SRN,2375841.66,3.452409549560276
STAR,475497.75,STAR,1713349.92,260.32766085643937
START,3271927.56,START,4500473.76,37.54808679199486
STEEM,3540033.57,STEEM,6513152.61,83.98561711944446
STORJ,62411984.550000004,STORJ,119848120.74,92.02741525385446
STORM,197578950,STORM,73301100,-62.900349455243074
